时间标识,2024/7/8 15:48:14,时间标识,2024/7/8 15:48:14
间隔,0.0002,间隔,0.0002
通道名称,"输入0",通道名称,"输入1"
单位,"V",单位,"V"
0.015,2.1045971596613526,0.015,2.1471905647777021
0.0152,2.1033064504154027,0.0152,2.1497719832696021
0.0154,2.1058878689073026,0.0154,2.1497719832696021
0.0156,2.1071785781532526,0.0156,2.151062692515552
0.0158,2.1097599966451526,0.0158,2.1497719832696021
0.016,2.1020157411694527,0.016,2.1446091462858021
0.0162,2.1058878689073026,0.0162,2.152353401761502
0.0164,2.1097599966451526,0.0164,2.152353401761502
0.0166,2.1045971596613526,0.0166,2.154934820253402
0.0168,2.1045971596613526,0.0168,2.156225529499352
0.017,2.1071785781532526,0.017,2.156225529499352
0.0172,2.1097599966451526,0.0172,2.1497719832696021
0.0174,2.1084692873992026,0.0174,2.152353401761502
0.0176,2.1123414151370525,0.0176,2.157516238745302
0.0178,2.1058878689073026,0.0178,2.151062692515552
0.018,2.1110507058911026,0.018,2.154934820253402
0.0182,2.1058878689073026,0.0182,2.153644111007452
0.0184,2.1071785781532526,0.0184,2.152353401761502
0.0186,2.1071785781532526,0.0186,2.1484812740236521
0.0188,2.1058878689073026,0.0188,2.1497719832696021
0.019,2.1084692873992026,0.019,2.152353401761502
0.0192,2.1020157411694527,0.0192,2.1433184370398521
0.0194,2.1033064504154027,0.0194,2.1497719832696021
0.0196,2.1020157411694527,0.0196,2.1458998555317521
0.0198,2.1007250319235027,0.0198,2.1484812740236521
0.02,2.1020157411694527,0.02,2.1458998555317521
0.0202,2.1058878689073026,0.0202,2.1394463093020022
0.0204,2.0981436134316027,0.0204,2.1471905647777021
0.0206,2.0994343226775527,0.0206,2.1407370185479522
0.0208,2.1007250319235027,0.0208,2.1394463093020022
0.021,2.1020157411694527,0.021,2.1381556000560522
0.0212,2.0955621949397027,0.0212,2.1420277277939022
0.0214,2.0968529041856527,0.0214,2.1394463093020022
0.0216,2.0981436134316027,0.0216,2.1407370185479522
0.0218,2.0878179394640028,0.0218,2.1342834723182023
0.022,2.0852365209721029,0.022,2.1329927630722523
0.0222,2.0903993579559028,0.0222,2.1252485075965524
0.0224,2.0891086487099528,0.0224,2.1355741815641522
0.0226,2.0903993579559028,0.0226,2.1291206353344023
0.0228,2.0903993579559028,0.0228,2.1304113445803523
0.023,2.0878179394640028,0.023,2.1265392168425024
0.0232,2.0813643932342529,0.0232,2.1239577983506024
0.0234,2.0826551024802029,0.0234,2.1200856706127524
0.0236,2.078782974742353,0.0236,2.1187949613668025
0.0238,2.0852365209721029,0.0238,2.1213763798587024
0.024,2.078782974742353,0.024,2.1226670891046524
0.0242,2.072329428512603,0.0242,2.1226670891046524
0.0244,2.076201556250453,0.0244,2.1239577983506024
0.0246,2.077492265496403,0.0246,2.1226670891046524
0.0248,2.078782974742353,0.0248,2.1200856706127524
0.025,2.074910847004503,0.025,2.1162135428749025
0.0252,2.077492265496403,0.0252,2.1162135428749025
0.0254,2.0697480100207031,0.0254,2.1084692873992026
0.0256,2.072329428512603,0.0256,2.1200856706127524
0.0258,2.073620137758553,0.0258,2.1175042521208525
0.026,2.0697480100207031,0.026,2.1149228336289525
0.0262,2.0710387192666531,0.0262,2.1110507058911026
0.0264,2.072329428512603,0.0264,2.1123414151370525
0.0266,2.0684573007747531,0.0266,2.1097599966451526
0.0268,2.0671665915288031,0.0268,2.1110507058911026
0.027,2.0658758822828531,0.027,2.1136321243830025
0.0272,2.072329428512603,0.0272,2.1110507058911026
0.0274,2.0710387192666531,0.0274,2.1084692873992026
0.0276,2.0671665915288031,0.0276,2.1097599966451526
0.0278,2.073620137758553,0.0278,2.1071785781532526
0.028,2.0697480100207031,0.028,2.1136321243830025
0.0282,2.0671665915288031,0.0282,2.1084692873992026
0.0284,2.0697480100207031,0.0284,2.1123414151370525
0.0286,2.0710387192666531,0.0286,2.1110507058911026
0.0288,2.072329428512603,0.0288,2.1097599966451526
0.029,2.0684573007747531,0.029,2.1110507058911026
0.0292,2.072329428512603,0.0292,2.1162135428749025
0.0294,2.072329428512603,0.0294,2.1097599966451526
0.0296,2.073620137758553,0.0296,2.1175042521208525
0.0298,2.072329428512603,0.0298,2.1162135428749025
0.03,2.074910847004503,0.03,2.1175042521208525
0.0302,2.074910847004503,0.0302,2.1162135428749025
0.0304,2.074910847004503,0.0304,2.1175042521208525
0.0306,2.077492265496403,0.0306,2.1226670891046524
0.0308,2.0813643932342529,0.0308,2.1187949613668025
0.031,2.077492265496403,0.031,2.1239577983506024
0.0312,2.0813643932342529,0.0312,2.1226670891046524
0.0314,2.077492265496403,0.0314,2.1239577983506024
0.0316,2.074910847004503,0.0316,2.1265392168425024
0.0318,2.0826551024802029,0.0318,2.1252485075965524
0.032,2.0852365209721029,0.032,2.1304113445803523
0.0322,2.0878179394640028,0.0322,2.1304113445803523
0.0324,2.0916900672018528,0.0324,2.1317020538263023
0.0326,2.0903993579559028,0.0326,2.1317020538263023
0.0328,2.0903993579559028,0.0328,2.1433184370398521
0.033,2.0929807764478028,0.033,2.1368648908101022
0.0332,2.0903993579559028,0.0332,2.1329927630722523
0.0334,2.0955621949397027,0.0334,2.1381556000560522
0.0336,2.0942714856937528,0.0336,2.1381556000560522
0.0338,2.0916900672018528,0.0338,2.1394463093020022
0.034,2.1033064504154027,0.034,2.1433184370398521
0.0342,2.0981436134316027,0.0342,2.1446091462858021
0.0344,2.0968529041856527,0.0344,2.1433184370398521
0.0346,2.1007250319235027,0.0346,2.1446091462858021
0.0348,2.1033064504154027,0.0348,2.1471905647777021
0.035,2.1020157411694527,0.035,2.1394463093020022
0.0352,2.1045971596613526,0.0352,2.1433184370398521
0.0354,2.1071785781532526,0.0354,2.1484812740236521
0.0356,2.1084692873992026,0.0356,2.151062692515552
0.0358,2.1071785781532526,0.0358,2.152353401761502
0.036,2.1071785781532526,0.036,2.1497719832696021
0.0362,2.1097599966451526,0.0362,2.153644111007452
0.0364,2.1058878689073026,0.0364,2.1471905647777021
0.0366,2.1084692873992026,0.0366,2.152353401761502
0.0368,2.1097599966451526,0.0368,2.153644111007452
0.037,2.1084692873992026,0.037,2.152353401761502
